WORKCLASS, PRECISION, RECALL, FBETA
Private, 0.7180232558139535, 0.25101626016260165, 0.37198795180722893
Self-emp-not-inc, 0.7115384615384616, 0.27611940298507465, 0.39784946236559143
Local-gov, 0.7058823529411765, 0.2, 0.3116883116883117
Federal-gov, 0.72, 0.23376623376623376, 0.35294117647058826
Self-emp-inc, 0.9444444444444444, 0.4112903225806452, 0.5730337078651685
Without-pay, 1.0, 1.0, 1.0
State-gov, 0.8095238095238095, 0.265625, 0.4
EDUCATION, PRECISION, RECALL, FBETA
Some-college, 0.5773195876288659, 0.21132075471698114, 0.3093922651933702
Bachelors, 0.8943089430894309, 0.2517162471395881, 0.3928571428571429
HS-grad, 0.6293103448275862, 0.22121212121212122, 0.32735426008968616
Assoc-voc, 0.7894736842105263, 0.2542372881355932, 0.3846153846153846
7th-8th, 0.16666666666666666, 0.14285714285714285, 0.15384615384615383
9th, 0.5, 0.16666666666666666, 0.25
5th-6th, 0.0, 0.0, 1.0
Masters, 0.875, 0.34054054054054056, 0.490272373540856
11th, 0.6, 0.4, 0.48
Doctorate, 1.0, 0.3695652173913043, 0.5396825396825397
12th, 0.0, 0.0, 1.0
Prof-school, 0.9761904761904762, 0.4823529411764706, 0.6456692913385828
10th, 0.3333333333333333, 0.1111111111111111, 0.16666666666666666
Assoc-acdm, 0.6, 0.20454545454545456, 0.30508474576271183
Preschool, 0.0, 1.0, 0.0
1st-4th, 1.0, 1.0, 1.0
MARITAL_STATUS, PRECISION, RECALL, FBETA
Married-civ-spouse, 0.8492063492063492, 0.2511737089201878, 0.38768115942028986
Never-married, 0.36046511627906974, 0.3263157894736842, 0.34254143646408836
Separated, 0.8888888888888888, 0.5714285714285714, 0.6956521739130435
Divorced, 0.6078431372549019, 0.3263157894736842, 0.4246575342465754
Married-spouse-absent, 0.5, 0.125, 0.2
Widowed, 0.5, 0.18181818181818182, 0.26666666666666666
Married-AF-spouse, 1.0, 0.0, 0.0
OCCUPATION, PRECISION, RECALL, FBETA
Machine-op-inspct, 0.46153846153846156, 0.1276595744680851, 0.2
Transport-moving, 0.6, 0.13636363636363635, 0.22222222222222218
Other-service, 0.25, 0.13793103448275862, 0.17777777777777778
Sales, 0.8169014084507042, 0.2914572864321608, 0.42962962962962964
Craft-repair, 0.6507936507936508, 0.21465968586387435, 0.3228346456692914
Adm-clerical, 0.5348837209302325, 0.21100917431192662, 0.3026315789473685
Exec-managerial, 0.8835616438356164, 0.32741116751269034, 0.4777777777777778
Farming-fishing, 0.38461538461538464, 0.25, 0.30303030303030304
Protective-serv, 0.8, 0.10810810810810811, 0.19047619047619047
Prof-specialty, 0.8632478632478633, 0.28939828080229224, 0.43347639484978534
Tech-support, 0.75, 0.24489795918367346, 0.3692307692307692
Handlers-cleaners, 0.18181818181818182, 0.15384615384615385, 0.16666666666666669
Priv-house-serv, 0.0, 1.0, 0.0
Armed-Forces, 1.0, 1.0, 1.0
RELATIONSHIP, PRECISION, RECALL, FBETA
Husband, 0.8727272727272727, 0.25554569653948533, 0.3953328757721345
Not-in-family, 0.5543478260869565, 0.3128834355828221, 0.4000000000000001
Other-relative, 0.5, 0.5, 0.5
Own-child, 0.13333333333333333, 0.3076923076923077, 0.18604651162790697
Wife, 0.6976744186046512, 0.20689655172413793, 0.3191489361702128
Unmarried, 0.6296296296296297, 0.3617021276595745, 0.4594594594594595
RACE, PRECISION, RECALL, FBETA
White, 0.7494824016563147, 0.26404084609773887, 0.3905070118662351
Asian-Pac-Islander, 0.8125, 0.2549019607843137, 0.38805970149253727
Black, 0.6153846153846154, 0.2318840579710145, 0.3368421052631579
Amer-Indian-Eskimo, 1.0, 0.25, 0.4
Other, 0.3333333333333333, 0.25, 0.28571428571428575
SEX, PRECISION, RECALL, FBETA
Male, 0.8023255813953488, 0.26785714285714285, 0.4016298020954598
Female, 0.49, 0.22790697674418606, 0.3111111111111111
NATIVE_COUNTRY, PRECISION, RECALL, FBETA
United-States, 0.7469635627530364, 0.26263345195729537, 0.38862559241706157
Nicaragua, 1.0, 1.0, 1.0
China, 1.0, 0.4, 0.5714285714285715
Canada, 0.5, 0.2222222222222222, 0.30769230769230765
Poland, 1.0, 0.0, 0.0
Puerto-Rico, 1.0, 0.5, 0.6666666666666666
Mexico, 0.5, 0.3333333333333333, 0.4
Germany, 1.0, 0.5, 0.6666666666666666
Philippines, 0.5, 0.07692307692307693, 0.13333333333333336
Jamaica, 1.0, 0.0, 0.0
Cuba, 1.0, 0.16666666666666666, 0.2857142857142857
Vietnam, 1.0, 0.0, 0.0
Laos, 1.0, 0.0, 0.0
England, 0.0, 0.0, 1.0
Dominican-Republic, 0.0, 0.0, 1.0
Hong, 1.0, 1.0, 1.0
India, 1.0, 0.375, 0.5454545454545454
Trinadad&Tobago, 0.0, 1.0, 0.0
Honduras, 1.0, 1.0, 1.0
Ireland, 1.0, 0.0, 0.0
Ecuador, 1.0, 1.0, 1.0
Cambodia, 1.0, 0.0, 0.0
South, 0.75, 1.0, 0.8571428571428571
Iran, 1.0, 0.0, 0.0
Taiwan, 1.0, 0.5, 0.6666666666666666
El-Salvador, 1.0, 1.0, 1.0
Japan, 1.0, 0.2, 0.33333333333333337
Guatemala, 1.0, 1.0, 1.0
Columbia, 1.0, 1.0, 1.0
Peru, 1.0, 0.5, 0.6666666666666666
Thailand, 1.0, 1.0, 1.0
Italy, 1.0, 0.25, 0.4
Scotland, 1.0, 1.0, 1.0
Portugal, 0.0, 0.0, 1.0
Haiti, 1.0, 1.0, 1.0
Greece, 1.0, 0.6666666666666666, 0.8
Hungary, 1.0, 1.0, 1.0
France, 1.0, 0.0, 0.0
Outlying-US(Guam-USVI-etc), 1.0, 1.0, 1.0
Yugoslavia, 1.0, 1.0, 1.0
